,summary,Krise,Energiequelle,Energiewende,Folgen,word
entfernt,2.64624236738598,-0.24514048067828906,-0.24159559267551894,0.8938619524315831,-0.3044560070549615,entfernt
weit entfernt,2.64624236738598,-0.24514048067828906,-0.24159559267551894,0.8938619524315831,-0.3044560070549615,weit entfernt
entfernt die,2.637170219193211,-0.2174749634670893,-0.23816138913365065,0.8495795931408507,-0.30102180351309304,entfernt die
die positiv,2.638524306919176,-0.2053567293498219,-0.23867471974784663,0.8303663900478798,-0.3015351341272891,die positiv
positiv nachricht,2.7174097179024876,-0.20051787716953962,-0.2681340505043851,0.8397548615541983,-0.3309944648838276,positiv nachricht
nachricht iea,2.909999243005616,-0.1878939120472848,-0.33660775457386205,0.8570032993529986,-0.39946816895330445,nachricht iea
lautet,3.1796985013297197,-0.24181719100543192,-0.4252413149206656,0.9791350447556588,-0.48810172930010814,lautet
iea laut,2.9914756619201754,-0.18079760768109104,-0.3642217315963249,0.8598413982383111,-0.4270821459757673,iea laut
laut energiekrise,3.9798934932588184,-0.05335401606176333,-0.6497099919765659,0.7610933267527469,-0.7125704063560082,laut energiekrise
energiekrise energiewende,3.713919714006162,-0.6607906450884041,-0.5805427791001476,1.4023324428514832,-0.64340319347959,energiekrise energiewende
energiewende wohl,3.1328912776942563,-0.3188982992498486,-0.4104112425939876,1.0693918360019459,-0.47327165697343015,energiewende wohl
beschleunigt,3.999858842802363,-0.390895409092811,0.6129416981508253,0.9110217974674598,-0.7175744191032636,beschleunigt
wohl beschleunig,3.0003481504031626,-0.29956709226037764,-0.36718326559522313,1.0285978917604515,-0.4300436799746655,wohl beschleunig
für klimaschutz,2.685556832844783,-0.25988791452237514,-0.256343026519605,0.9232225944448471,-0.31920344089904756,für klimaschutz
geschieht,2.5575429517780495,-0.2459265358822445,-0.20750194666776145,0.8754360850134779,-0.27036236104720385,geschieht
klimaschutz gescheh,2.5575429517780495,-0.2459265358822445,-0.20750194666776145,0.8754360850134779,-0.27036236104720385,klimaschutz gescheh
Wandel,2.9402032586894524,-0.08797109257775255,-0.3469336480955133,0.6767671256141301,-0.40979406247495576,Wandel
gescheh wandel,2.483154136907369,-0.23822766069314397,-0.17798451501113202,0.8457162586985114,-0.24084492939057442,gescheh wandel
wandel langsam,2.440521028221321,-0.23391486531868763,-0.16066648619181154,0.8278836048256563,-0.2235269005712539,wandel langsam
Kurz,2.8754377936370568,-0.29077451821418887,-0.324659872230187,0.9986221716152598,-0.38752028660962956,Kurz
